v.alpha	j.alpha	v.beta	j.beta	signature	x	y	cid	csize	csign	cid2	subset	count	count.a	count.b	total	count.exp	p.value	trio.type	p.adj
TRAV1-2	TRAJ33	X	TRBJ2-1	TRAV1-2 TRAJ33 TRBJ2-1	-498.511303226737	-211.949883524126	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		193.5	752	49145	294736	125.390315400901	1.55849555483201e-10	Va-Ja-Jb	2.31237102461535e-05
TRAV1-2	TRAJ33	X	TRBJ2-6	TRAV1-2 TRAJ33 TRBJ2-6	-577.527300015164	-238.721965157309	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		43	752	5875	294736	14.9896856848162	4.9686321723641e-10	Va-Ja-Jb	7.37141300459765e-05
TRAV1-2	TRAJ41	TRBV6-4	X	TRAV1-2 TRAJ41 TRBV6-4	-656.508479683167	4.02621384137129	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		12	125.5	1556.3	294736	0.66267999158569	2.08943973234454e-13	Va-Ja-Vb	3.10066587960733e-08
TRAV1-2	X	TRBV4-2	TRBJ2-1	TRAV1-2 TRBV4-2 TRBJ2-1	-382.593984040264	-333.366250723055	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		51.1666666666666	7461.5	944.4	294736	23.9083132023234	2.72701204728776e-07	Va-Vb-Jb	0.0404268627962221
TRAV1-2	X	TRBV6-4	TRBJ2-1	TRAV1-2 TRBV6-4 TRBJ2-1	-568.305652947175	-17.8613121355111	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		137.5	7461.5	498	294736	12.6073061994463	0	Va-Vb-Jb	0
TRAV1-2	X	TRBV6-4	TRBJ2-2	TRAV1-2 TRBV6-4 TRBJ2-2	-751.020901382917	-92.8565116366962	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		34.5	7461.5	137	294736	3.46827499864285	0	Va-Vb-Jb	0
TRAV1-2	X	TRBV6-4	TRBJ2-3	TRAV1-2 TRBV6-4 TRBJ2-3	-764.619160600029	45.2352930312044	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		106.5	7461.5	384.2	294736	9.72635952174149	0	Va-Vb-Jb	0
TRAV1-2	X	TRBV6-4	TRBJ2-6	TRAV1-2 TRBV6-4 TRBJ2-6	-633.917031671457	-74.9581925660092	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		12	7461.5	49.05	294736	1.24174371301775	1.94464444547293e-10	Va-Vb-Jb	2.88526896374819e-05
TRAV10	TRAJ12	TRBV7-9	X	TRAV10 TRAJ12 TRBV7-9	-1795.64000527885	1241.48277683665	49	1	Va10 Ja12 Vb7-9	Singleton		12.5	49	11343.9333333333	294736	1.8859343050504	2.879859040128e-08	Va-Ja-Vb	0.00427126293536584
TRAV10	TRAJ18	TRBV25-1	X	TRAV10 TRAJ18 TRBV25-1	-1812.47064736362	-506.561387537533	50	1	Va10 Ja18 Vb25-1	Singleton	iNKT	23	61	2020	294736	0.418069051625862	0	Va-Ja-Vb	0
TRAV12-1	TRAJ17	TRBV2	X	TRAV12-1 TRAJ17 TRBV2	-171.775773545752	-672.741419683294	51	1	Va12-1 Ja17 Vb2	Singleton		30	283.666666666667	9612.33333333333	294736	9.25132510299236	6.21765006147967e-09	Va-Ja-Vb	0.000922313774819772
TRAV12-1	TRAJ18	TRBV30	X	TRAV12-1 TRAJ18 TRBV30	-1075.105835852	1097.65226084232	3	2	Va12-1 Ja18 Vb30 Jb2-1	Va12-1 Ja18 Vb30 Jb2-1		21.6666666666666	152.333333333333	8514	294736	4.40043292980837	6.42775277448493e-10	Va-Ja-Vb	9.53602118364261e-05
TRAV12-1	TRAJ43	X	TRBJ1-1	TRAV12-1 TRAJ43 TRBJ1-1	489.979364238572	-810.875100264645	41	1	Va12-1 Ja43 Jb1-1	Singleton		88.6666666666667	470.666666666667	30188.5	294736	48.2082971427537	1.22816772307743e-08	Va-Ja-Jb	0.00182169205693183
TRAV12-1	TRAJ45	TRBV18	X	TRAV12-1 TRAJ45 TRBV18	-2095.69741256413	-934.639495041264	52	1	Va12-1 Ja45 Vb18	Singleton		25.5	293.666666666667	7988	294736	7.95901869243436	1.84667904301605e-07	Va-Ja-Vb	0.0273797868312775
TRAV12-1	TRAJ48	TRBV24-1	X	TRAV12-1 TRAJ48 TRBV24-1	296.599800971109	1630.41976400363	53	1	Va12-1 Ja48 Vb24-1	Singleton		20	246.333333333333	3934	294736	3.28794356079113	3.07298630985997e-11	Va-Ja-Vb	4.55975854629642e-06
TRAV12-2	TRAJ13	TRBV25-1	X	TRAV12-2 TRAJ13 TRBV25-1	-1232.08896558157	-1380.26800533577	54	1	Va12-2 Ja13 Vb25-1	Singleton		12.5	300.666666666667	2020	294736	2.06064636375152	2.3628275958032e-07	Va-Ja-Vb	0.0350284465422632
TRAV12-3	TRAJ10	TRBV20-1	X	TRAV12-3 TRAJ10 TRBV20-1	735.989282176641	-47.1257228556572	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		77.3333333333333	353	32052.5	294736	38.3887020927203	9.76108527339647e-10	Va-Ja-Vb	0.000144809604464946
TRAV12-3	TRAJ11	TRBV20-1	X	TRAV12-3 TRAJ11 TRBV20-1	705.50393773639	62.3597113471364	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		54.5	247.5	32052.5	294736	26.9155914106183	1.97455181094597e-07	Va-Ja-Vb	0.029274902604266
TRAV12-3	TRAJ17	TRBV20-1	X	TRAV12-3 TRAJ17 TRBV20-1	476.787839106439	76.3932577567026	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		75.4999999999999	305.166666666667	32052.5	294736	33.1868335844055	3.87223586528762e-12	Va-Ja-Vb	5.7460108005003e-07
TRAV12-3	TRAJ18	TRBV6-4	X	TRAV12-3 TRAJ18 TRBV6-4	873.588667551755	256.73977512806	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		13.8333333333333	144.333333333333	1556.3	294736	0.762125992979027	6.42819131257966e-14	Va-Ja-Vb	9.53937162595508e-09
TRAV12-3	TRAJ18	X	TRBJ2-3	TRAV12-3 TRAJ18 TRBJ2-3	776.327237960858	189.418338861601	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		40.1666666666666	144.333333333333	34777.5	294736	17.0306732126377	5.245293110967e-08	Va-Ja-Jb	0.00777876968356406
TRAV12-3	TRAJ23	TRBV20-1	X	TRAV12-3 TRAJ23 TRBV20-1	545.089150363898	179.9885073059	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		79.3333333333333	371.333333333333	32052.5	294736	40.3824496046179	1.98849181565208e-09	Va-Ja-Vb	0.000294990772360171
TRAV12-3	TRAJ41	TRBV20-1	X	TRAV12-3 TRAJ41 TRBV20-1	631.814858304574	-82.6064119196783	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		38	124.833333333333	32052.5	294736	13.5756080582849	6.71811495323027e-10	Va-Ja-Vb	9.9667266200143e-05
TRAV12-3	TRAJ48	TRBV20-1	X	TRAV12-3 TRAJ48 TRBV20-1	503.157181157902	-34.571646661188	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		61.6666666666667	242.333333333333	32052.5	294736	26.3537171118108	1.01674002550567e-10	Va-Ja-Vb	1.50859818024429e-05
TRAV12-3	X	TRBV20-1	TRBJ2-3	TRAV12-3 TRBV20-1 TRBJ2-3	623.752055135974	67.7358183067743	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		259.5	10945	4002	294736	148.613979968514	0	Va-Vb-Jb	0
TRAV12-3	X	TRBV20-1	TRBJ2-5	TRAV12-3 TRBV20-1 TRBJ2-5	583.064499791898	-10.1330778258512	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		200.166666666667	10945	3443.66666666667	294736	127.880312098511	4.94748242374499e-10	Va-Vb-Jb	7.34008492386806e-05
TRAV13-1	TRAJ17	TRBV20-1	X	TRAV13-1 TRAJ17 TRBV20-1	373.553040043503	276.519511281848	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		90	347	32052.5	294736	37.7362029070083	1.11022302462516e-15	Va-Ja-Vb	1.64762647969496e-10
TRAV13-1	TRAJ30	TRBV7-3	X	TRAV13-1 TRAJ30 TRBV7-3	-758.963402701432	642.307834136468	55	1	Va13-1 Ja30 Vb7-3	Singleton		17	286.5	3721.25	294736	3.61726468772054	4.08313738375909e-08	Va-Ja-Vb	0.0060555785597316
TRAV13-1	TRAJ56	TRBV10-3	X	TRAV13-1 TRAJ56 TRBV10-3	120.216246925451	-1143.79982393393	11	3	Va13-1 Ja56 Vb10-3	Va13-1 Ja56 Vb10-3		32	125	3722.6	294736	1.57878576081646	0	Va-Ja-Vb	0
TRAV13-1	X	TRBV20-1	TRBJ2-1	TRAV13-1 TRBV20-1 TRBJ2-1	339.637901650814	442.951574954892	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		382	15663.3333333333	5417.5	294736	287.905475860883	1.59141466671286e-08	Va-Vb-Jb	0.00236041806196186
TRAV13-2	TRAJ18	TRBV24-1	X	TRAV13-2 TRAJ18 TRBV24-1	-1546.39348853683	909.270931762669	56	1	Va13-2 Ja18 Vb24-1	Singleton		10	82	3934	294736	1.09449812713751	1.38749852718334e-08	Va-Ja-Vb	0.00205799331545942
TRAV13-2	TRAJ31	TRBV29-1	X	TRAV13-2 TRAJ31 TRBV29-1	809.033146107955	-624.729086579992	16	2	Va13-2 Ja31 Vb29-1 Jb2-3	Va13-2 Ja31 Vb29-1 Jb2-3		25	224	7435.5	294736	5.65099614570327	1.50004231258549e-10	Va-Ja-Vb	2.22565778045247e-05
TRAV13-2	TRAJ56	TRBV10-3	X	TRAV13-2 TRAJ56 TRBV10-3	136.298449830619	-1344.35234096695	11	3	Va13-1 Ja56 Vb10-3	Va13-1 Ja56 Vb10-3		12	106.5	3722.6	294736	1.34512546821562	1.22839849403533e-09	Va-Ja-Vb	0.000182234144988636
TRAV13-2	TRAJ6	TRBV14	X	TRAV13-2 TRAJ6 TRBV14	-1699.61883107109	-85.2358807856983	57	1	Va13-2 Ja6 Vb14	Singleton		20	264.5	4149	294736	3.72336769176483	2.96366486907118e-10	Va-Ja-Vb	4.39701174634877e-05
TRAV13-2	X	TRBV2	TRBJ1-5	TRAV13-2 TRBV2 TRBJ1-5	-789.971948125874	-711.21457291046	15	1	Va13-2 Vb2 Jb1-5	Singleton		64	9130	1031	294736	31.9371573204495	1.02064663942691e-07	Va-Vb-Jb	0.0151341483694223
TRAV13-2	X	TRBV29-1	TRBJ2-3	TRAV13-2 TRBV29-1 TRBJ2-3	851.724902338779	-540.343696314304	16	2	Va13-2 Ja31 Vb29-1 Jb2-3	Va13-2 Ja31 Vb29-1 Jb2-3		59	9130	945	294736	29.2731461375604	2.42652281601252e-07	Va-Vb-Jb	0.0359724727905408
TRAV13-2	X	TRBV7-2	TRBJ1-5	TRAV13-2 TRBV7-2 TRBJ1-5	472.671007657605	2098.32582308953	17	1	Va13-2 Vb7-2 Jb1-5	Singleton		57.4	9130	830.15	294736	25.7154521334347	1.53440344874412e-08	Va-Vb-Jb	0.00227587322728073
TRAV13-2	X	TRBV7-8	TRBJ1-5	TRAV13-2 TRBV7-8 TRBJ1-5	-1258.48946171446	663.506221204923	18	1	Va13-2 Vb7-8 Jb1-5	Singleton		52	9130	741.366666666667	294736	22.9652219839676	2.92626552989006e-08	Va-Vb-Jb	0.00434006145800114
TRAV14DV4	TRAJ22	TRBV15	X	TRAV14DV4 TRAJ22 TRBV15	1359.40802927431	944.232048958214	19	3	Va14DV4 Ja22 Vb15 Jb2-3	Va14DV4 Ja22 Vb15 Jb2-3		30	273	4756	294736	4.40525758645025	0	Va-Ja-Vb	0
TRAV14DV4	TRAJ22	X	TRBJ2-3	TRAV14DV4 TRAJ22 TRBJ2-3	1305.19392999772	866.571274731095	19	3	Va14DV4 Ja22 Vb15 Jb2-3	Va14DV4 Ja22 Vb15 Jb2-3		73	273	34777.5	294736	32.2127514114326	4.51638726417514e-12	Va-Ja-Jb	6.70182189743684e-07
TRAV14DV4	TRAJ28	TRBV9	X	TRAV14DV4 TRAJ28 TRBV9	1252.84388171871	-69.0675433437157	58	1	Va14DV4 Ja28 Vb9	Singleton		33	244	12008.7	294736	9.94151647576136	5.21995668911757e-10	Va-Ja-Vb	7.74422334484104e-05
TRAV14DV4	TRAJ39	TRBV24-1	X	TRAV14DV4 TRAJ39 TRBV24-1	831.047718322922	-1556.28939777779	59	1	Va14DV4 Ja39 Vb24-1	Singleton		15	226.5	3934	294736	3.02321738776397	9.67874747015429e-08	Va-Ja-Vb	0.0143517435362195
TRAV14DV4	TRAJ54	TRBV18	X	TRAV14DV4 TRAJ54 TRBV18	-247.93293713714	1572.52562259854	60	1	Va14DV4 Ja54 Vb18	Singleton		25	269	7988	294736	7.2904972585636	3.1503657904608e-08	Va-Ja-Vb	0.00467230750383241
TRAV14DV4	X	TRBV15	TRBJ2-3	TRAV14DV4 TRBV15 TRBJ2-3	1401.59279759689	858.328597976963	19	3	Va14DV4 Ja22 Vb15 Jb2-3	Va14DV4 Ja22 Vb15 Jb2-3		52	8759	574	294736	17.0582012377178	7.54174500627869e-13	Va-Vb-Jb	1.11915725020673e-07
TRAV14DV4	X	TRBV20-1	TRBJ1-5	TRAV14DV4 TRBV20-1 TRBJ1-5	1571.32369335748	-1467.31988151297	20	1	Va14DV4 Vb20-1 Jb1-5	Singleton		121	8759	2461	294736	73.1362948536996	5.88867046236175e-08	Va-Vb-Jb	0.00873254497545473
TRAV2	TRAJ13	TRBV28	X	TRAV2 TRAJ13 TRBV28	1171.81337595967	-1208.04408927055	61	1	Va2 Ja13 Vb28	Singleton		37	266	16998.5	294736	15.3411900819717	2.74349403750485e-07	Va-Ja-Vb	0.0406709273589906
TRAV2	TRAJ15	TRBV2	X	TRAV2 TRAJ15 TRBV2	2070.34595279207	-571.263800103891	62	1	Va2 Ja15 Vb2	Singleton		31	301	9612.33333333333	294736	9.81662346416228	6.8090433291701e-09	Va-Ja-Vb	0.00101002625127578
TRAV20	TRAJ22	TRBV30	X	TRAV20 TRAJ22 TRBV30	1635.67129119633	1360.79629662437	63	1	Va20 Ja22 Vb30	Singleton		25	177	8514	294736	5.11297567993051	1.33710820193755e-11	Va-Ja-Vb	1.98408137652706e-06
TRAV20	X	TRBV6-2	TRBJ1-1	TRAV20 TRBV6-2 TRBJ1-1	2120.97681414383	357.08661005113	21	1	Va20 Vb6-2 Jb1-1	Singleton		43.95	5541	473.083333333333	294736	8.89390759866457	0	Va-Vb-Jb	0
TRAV20	X	TRBV6-3	TRBJ1-1	TRAV20 TRBV6-3 TRBJ1-1	-1094.3336760052	-1822.95931067117	22	1	Va20 Vb6-3 Jb1-1	Singleton		43.95	5541	479.483333333333	294736	9.01422679957657	0	Va-Vb-Jb	0
TRAV21	TRAJ18	TRBV7-3	X	TRAV21 TRAJ18 TRBV7-3	-654.680165867766	1462.45877548802	64	1	Va21 Ja18 Vb7-3	Singleton		11	138	3721.25	294736	1.74234738884968	2.26494372701502e-07	Va-Ja-Vb	0.0335782437417431
TRAV21	X	TRBV27	TRBJ2-3	TRAV21 TRBV27 TRBJ2-3	-58.4113823804838	932.317758033345	23	1	Va21 Vb27 Jb2-3	Singleton		104	10858	1253.5	294736	46.178624260355	1.70974345792274e-14	Va-Vb-Jb	2.53729348642651e-09
TRAV22	TRAJ28	TRBV5-4	X	TRAV22 TRAJ28 TRBV5-4	583.972448851901	-1121.62097136009	65	1	Va22 Ja28 Vb5-4	Singleton		11.8333333333333	130	3712.93333333333	294736	1.63767348859092	1.14961086206122e-07	Va-Ja-Vb	0.0170460849793852
TRAV22	TRAJ28	TRBV5-8	X	TRAV22 TRAJ28 TRBV5-8	2279.56908673825	-117.083679044854	66	1	Va22 Ja28 Vb5-8	Singleton		11.8333333333333	130	3708.43333333333	294736	1.63568866149141	1.13324162498429e-07	Va-Ja-Vb	0.0168034801669421
TRAV22	X	TRBV29-1	TRBJ2-7	TRAV22 TRBV29-1 TRBJ2-7	167.074418567226	1144.16715091692	24	1	Va22 Vb29-1 Jb2-7	Singleton		50	4280	1164.16666666667	294736	16.9054113964135	9.67370628046638e-12	Va-Vb-Jb	1.43545225383956e-06
TRAV23DV6	TRAJ41	TRBV5-1	X	TRAV23DV6 TRAJ41 TRBV5-1	-454.760053162495	536.448981126566	67	1	Va23DV6 Ja41 Vb5-1	Singleton		21	112	14954.8	294736	5.68284023668639	4.48422325938225e-08	Va-Ja-Vb	0.00665028246259425
TRAV24	TRAJ18	TRBV28	X	TRAV24 TRAJ18 TRBV28	-1311.11309885645	80.6720576252886	42	2	Va24 Ja18 Vb28 Jb2-3	Va24 Ja18 Vb28 Jb2-3		21	75	16998.5	294736	4.32552351935291	1.40811140525443e-10	Va-Ja-Vb	2.08927121643221e-05
TRAV24	TRAJ18	X	TRBJ2-3	TRAV24 TRAJ18 TRBJ2-3	-1265.11179687896	163.396804224747	42	2	Va24 Ja18 Vb28 Jb2-3	Va24 Ja18 Vb28 Jb2-3		25	75	34777.5	294736	8.8496569811628	2.07984300670816e-07	Va-Ja-Jb	0.0308349204802525
TRAV24	X	TRBV19	TRBJ2-7	TRAV24 TRBV19 TRBJ2-7	-535.410161883818	1948.38928734056	25	1	Va24 Vb19 Jb2-7	Singleton		50	3940	1647.66666666667	294736	22.0258355500063	6.49797491369952e-08	Va-Vb-Jb	0.0096359769590233
TRAV25	TRAJ11	TRBV7-9	X	TRAV25 TRAJ11 TRBV7-9	-275.211075605292	-1616.86288771943	68	1	Va25 Ja11 Vb7-9	Singleton		18	101	11343.9333333333	294736	3.88733397571612	1.01949282349523e-08	Va-Ja-Vb	0.001512193315234
TRAV25	X	TRBV19	TRBJ1-5	TRAV25 TRBV19 TRBJ1-5	-743.665057151091	-2179.32138316545	26	1	Va25 Vb19 Jb1-5	Singleton		65	5772	1530	294736	29.9629498941426	5.26625287822213e-09	Va-Vb-Jb	0.000781190685702593
TRAV25	X	TRBV19	TRBJ2-1	TRAV25 TRBV19 TRBJ2-1	1421.95999501864	-989.888830857892	27	1	Va25 Vb19 Jb2-1	Singleton		81	5772	2271	294736	44.4744177840508	1.93685135263522e-07	Va-Vb-Jb	0.0287161455244402
TRAV25	X	TRBV27	TRBJ1-2	TRAV25 TRBV27 TRBJ1-2	1669.09802962681	-555.277983113045	28	1	Va25 Vb27 Jb1-2	Singleton		50	5772	1126	294736	22.0511644318984	6.12099161356738e-08	Va-Vb-Jb	0.00907700209350748
TRAV26-1	TRAJ23	TRBV20-1	X	TRAV26-1 TRAJ23 TRBV20-1	194.746658891784	287.2749612742	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		98	478	32052.5	294736	51.9824351283861	2.83874035389431e-10	Va-Ja-Vb	4.21172551345883e-05
TRAV26-1	TRAJ28	TRBV9	X	TRAV26-1 TRAJ28 TRBV9	-244.548531746221	-2147.47089694952	69	1	Va26-1 Ja28 Vb9	Singleton		36	297	12008.7	294736	12.1009442348407	2.2288675349813e-09	Va-Ja-Vb	0.000330648041079407
TRAV26-1	TRAJ29	TRBV20-1	X	TRAV26-1 TRAJ29 TRBV20-1	45.4119413698817	161.617977532318	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		80	400	32052.5	294736	43.4999457141306	3.0732651756793e-08	Va-Ja-Vb	0.00455799031470172
TRAV26-1	TRAJ30	TRBV20-1	X	TRAV26-1 TRAJ30 TRBV20-1	80.6250132799385	382.467629541817	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		69.8333333333333	317.833333333333	32052.5	294736	34.564331865353	7.95561660993371e-09	Va-Ja-Vb	0.0011800804786013
TRAV26-1	TRAJ34	TRBV20-1	X	TRAV26-1 TRAJ34 TRBV20-1	-40.0331331855462	256.861342017113	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		74.8333333333333	380	32052.5	294736	41.3249484284241	2.80022922183321e-07	Va-Ja-Vb	0.0415117180761442
TRAV26-1	TRAJ39	TRBV20-1	X	TRAV26-1 TRAJ39 TRBV20-1	11.3881948149149	381.257307441021	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		92.2	485.4	32052.5	294736	52.7871841240975	4.88640705675891e-08	Va-Ja-Vb	0.0072466393933146
TRAV26-1	TRAJ41	TRBV20-1	X	TRAV26-1 TRAJ41 TRBV20-1	103.015897728384	305.966906873431	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		57	266	32052.5	294736	28.9274638998969	1.9973031384346e-07	Va-Ja-Vb	0.0296118166001176
TRAV26-1	TRAJ43	TRBV20-1	X	TRAV26-1 TRAJ43 TRBV20-1	122.915234789206	181.590859497753	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		77	388	32052.5	294736	42.1949473427067	7.47896518049629e-08	Va-Ja-Vb	0.0110904078868543
TRAV26-1	TRAJ49	TRBV20-1	X	TRAV26-1 TRAJ49 TRBV20-1	-37.7438013873771	325.324652761571	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		94	441	32052.5	294736	47.958690149829	7.08151315365058e-11	Va-Ja-Vb	1.05074784022552e-05
TRAV26-1	X	TRBV20-1	TRBJ1-1	TRAV26-1 TRBV20-1 TRBJ1-1	5.00948658127378	209.586638219461	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		216	12893.5	2573	294736	112.558274184355	0	Va-Vb-Jb	0
TRAV26-1	X	TRBV20-1	TRBJ1-2	TRAV26-1 TRBV20-1 TRBJ1-2	124.499028480945	246.939751891038	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		199	12893.5	2701.5	294736	118.179626004289	9.67448343658361e-13	Va-Vb-Jb	1.43563529508839e-07
TRAV26-1	X	TRBV20-1	TRBJ1-3	TRAV26-1 TRBV20-1 TRBJ1-3	33.1596906623622	312.022658903314	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		97	12893.5	793	294736	34.6905213479181	0	Va-Vb-Jb	0
TRAV26-1	X	TRBV20-1	TRBJ2-1	TRAV26-1 TRBV20-1 TRBJ2-1	147.368157473979	355.873138874223	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		368	12893.5	5417.5	294736	236.993567972694	1.11022302462516e-16	Va-Vb-Jb	1.64764868415546e-11
TRAV26-1	X	TRBV20-1	TRBJ2-7	TRAV26-1 TRBV20-1 TRBJ2-7	52.5000358807906	257.112357148823	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		365	12893.5	6306.16666666667	294736	275.869116486166	4.70066869873165e-08	Va-Vb-Jb	0.00697123270028
TRAV26-2	TRAJ43	TRBV7-8	X	TRAV26-2 TRAJ43 TRBV7-8	-372.094981698548	-1230.23154546515	30	2	Va26-2 Ja43 Vb7-8 Jb1-5	Va26-2 Ja43 Vb7-8 Jb1-5		27	236	10181.5666666667	294736	8.15254917395002	1.78213945822847e-08	Va-Ja-Vb	0.00264326924444447
TRAV26-2	X	TRBV27	TRBJ1-1	TRAV26-2 TRBV27 TRBJ1-1	310.073360271913	-592.371239216287	29	1	Va26-2 Vb27 Jb1-1	Singleton		50	5203.5	1032	294736	18.2197356278161	1.24861898598283e-10	Va-Vb-Jb	1.85263842045202e-05
TRAV26-2	X	TRBV7-8	TRBJ1-5	TRAV26-2 TRBV7-8 TRBJ1-5	-360.344963989175	-1135.79256760878	30	2	Va26-2 Ja43 Vb7-8 Jb1-5	Va26-2 Ja43 Vb7-8 Jb1-5		37.5	5203.5	741.366666666667	294736	13.0886673158352	1.00127336422062e-08	Va-Vb-Jb	0.00148517876841481
TRAV27	TRAJ39	X	TRBJ1-2	TRAV27 TRAJ39 TRBJ1-2	-2028.51334230059	776.807285679717	43	1	Va27 Ja39 Jb1-2	Singleton		45	220	27378.5	294736	20.4361530318658	1.47030744024335e-07	Va-Ja-Jb	0.0218005424779761
TRAV29DV5	TRAJ24	TRBV18	X	TRAV29DV5 TRAJ24 TRBV18	662.232845766692	1070.05217880888	32	5	Va29DV5 Vb18 Jb1-1	Va29DV5 Vb18 Jb1-1		19	167.5	7988	294736	4.53962189891971	3.89060876848646e-08	Va-Ja-Vb	0.00577012295845458
TRAV29DV5	TRAJ39	TRBV5-1	X	TRAV29DV5 TRAJ39 TRBV5-1	-1275.18579641099	-349.794610716413	33	5	Va29DV5 Vb5-1	Va29DV5 Vb5-1		56	423.5	14954.8	294736	21.4882396449704	2.89943624665057e-11	Va-Ja-Vb	4.30229948022998e-06
