v.alpha	j.alpha	v.beta	j.beta	signature	x	y	cid	csize	csign	cid2	subset	count	count.a	count.b	total	count.exp	p.value	trio.type	p.adj
TRAV1-1	TRAJ13	X	TRBJ1-2	TRAV1-1 TRAJ13 TRBJ1-2	-394.314587915234	1167.50535293525	40	1	Va1-1 Ja13 Jb1-2	Singleton		42	201	27378.5	294736	18.6712125427501	1.88136774825765e-07	Va-Ja-Jb	0.0278939107827672
TRAV1-1	TRAJ24	X	TRBJ2-5	TRAV1-1 TRAJ24 TRBJ2-5	439.215527944185	-288.239567221249	2	36	Va26-1 Vb20-1	Va26-1 Vb20-1		37.5	159.5	29312.8333333333	294736	15.8629991472595	3.13526833384259e-07	Va-Ja-Jb	0.0464781583613827
TRAV1-1	X	TRBV28	TRBJ2-7	TRAV1-1 TRBV28 TRBJ2-7	1895.97783134491	933.787939915135	13	1	Va1-1 Vb28 Jb2-7	Singleton		101.333333333333	4656.5	3289.16666666667	294736	51.9651640224924	2.91597745949446e-10	Va-Vb-Jb	4.32628995777895e-05
TRAV1-1	X	TRBV30	TRBJ2-7	TRAV1-1 TRBV30 TRBJ2-7	-1010.79971647368	480.61244545765	14	1	Va1-1 Vb30 Jb2-7	Singleton		48	4656.5	1304.5	294736	20.6096447329135	5.18041085584287e-08	Va-Vb-Jb	0.00768260110332353
TRAV1-2	TRAJ12	TRBV6-4	X	TRAV1-2 TRAJ12 TRBV6-4	-725.280692505661	-23.6992732273581	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4	MAIT	29	182.5	1556.3	294736	0.963658155094729	0	Va-Ja-Vb	0
TRAV1-2	TRAJ20	TRBV6-4	X	TRAV1-2 TRAJ20 TRBV6-4	-661.860186163094	81.4246712187296	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4	MAIT	90.5	532	1556.3	294736	2.80912952608436	0	Va-Ja-Vb	0
TRAV1-2	TRAJ33	TRBV20-1	X	TRAV1-2 TRAJ33 TRBV20-1	-586.808224611288	-340.651942086391	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		135	752	32052.5	294736	81.7798979425655	2.64310151543157e-09	Va-Ja-Vb	0.000392096180509727
TRAV1-2	TRAJ33	TRBV4-2	X	TRAV1-2 TRAJ33 TRBV4-2	-473.744442784635	-323.790747705843	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		41.25	752	5564.95	294736	14.1986129960371	9.91084769808026e-10	Va-Ja-Vb	0.00014703039885533
TRAV1-2	TRAJ33	TRBV4-3	X	TRAV1-2 TRAJ33 TRBV4-3	-408.088763541722	-206.511477750793	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4		44.25	752	7357.7	294736	18.7726996362847	1.1979310898802e-07	Va-Ja-Vb	0.0177623232351987
TRAV1-2	TRAJ33	TRBV6-4	X	TRAV1-2 TRAJ33 TRBV6-4	-667.569275640544	-137.963613273617	4	19	Va1-2 Ja33 Vb6-4	Va1-2 Ja33 Vb6-4	MAIT	140.5	752	1556.3	294736	3.97079963085609	0	Va-Ja-Vb	0
